cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Simon Rous,Independent and Other,Broadland,0.64,"4,364.17","76,481","15,175.17",28.76,"4,364.17",0.00,0.00,0.00,"1,072.07","3,025.32",266.78,0.00,0.00,0.00,0.00,0.00
Julie Ireland,Liberal Democrats,Bromley and Chislehurst,14.53,"5,066.79","65,245","12,614.70",40.17,"5,006.79",60.00,0.00,0.00,556.14,"4,490.65",0.00,0.00,0.00,20.00,20.00,"5,006.79"
Angela Wilkins,Labour Party,Bromley and Chislehurst,28.68,"3,349.00","65,245","12,614.70",26.55,0.00,"3,349.00",0.00,0.00,0.00,"3,320.00",0.00,0.00,0.00,29.00,0.00,"3,349.00"
Mary Ion,Green Party,Bromley and Chislehurst,3.39,260.00,"66,711","12,702.66",2.05,260.00,0.00,0.00,0.00,0.00,260.00,0.00,0.00,0.00,0.00,0.00,166.67
Jyoti Dialani,Independent and Other,Bromley and Chislehurst,0.26,"4,110.18","65,245","12,614.70",32.58,678.77,"3,431.41",0.00,0.00,"2,060.96",687.97,349.79,0.00,470.26,541.20,0.00,"4,110.18"
Zion Amodu,Independent and Other,Bromley and Chislehurst,0.56,965.50,"65,245",NaN,NaN,965.50,0.00,0.00,0.00,0.00,965.50,0.00,0.00,0.00,0.00,0.00,0.00
Sajid Javid,Conservative and Unionist Party,Bromsgrove,63.4,"14,332.71","73,743","15,336.87",93.45,"1,883.17","12,449.54",0.00,0.00,"2,573.35","7,645.92",29.31,318.00,"2,575.01","1,191.12",0.00,"29,309.54"
Kevin White,Green Party,Bromsgrove,3.29,0.00,"75,079","15,457.11",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rory Shannon,Labour Party,Bromsgrove,20.82,911.00,NaN,NaN,NaN,911.00,0.00,0.00,0.00,0.00,911.00,0.00,0.00,0.00,0.00,0.00,300.00
David Nicholl,Liberal Democrats,Bromsgrove,12.49,"4,100.46","75,078","15,457.02",26.53,"3,942.39",157.50,0.00,0.00,"1,134.46","2,834.40",0.00,132.00,0.00,0.00,NaN,"3,874.78"
Charles Walker,Conservative and Unionist Party,Broxbourne,65.58,"8,514.69","72,328","15,209.52",55.98,"7,427.78","1,086.91",0.00,0.00,321.56,"4,452.22",0.00,0.00,"3,116.46",624.45,100.00,"8,514.69"
Nicholas Cox,Green Party,Broxbourne,2.74,129.43,NaN,"8,700.00",1.49,129.43,0.00,0.00,0.00,129.43,0.00,0.00,0.00,0.00,0.00,0.00,61.00
Sean Waters,Labour Party,Broxbourne,23.17,"1,529.00","71,225","12,973.50",11.79,"1,529.00",0.00,0.00,0.00,129.00,"1,400.00",0.00,0.00,0.00,0.00,0.00,0.00
Julia Bird,Liberal Democrats,Broxbourne,8.5,"2,567.36","73,182","13,090.92",19.61,"2,567.36",0.00,0.00,0.00,81.01,"2,072.30",0.00,0.00,0.00,414.05,0.00,0.00
Anna Soubry,Independent and Other,Broxtowe,8.45,"12,206.09","71,586","15,142.74",80.61,"12,206.09",45.00,0.00,0.00,500.94,"9,909.63",72.00,0.00,0.00,"1,723.52",0.00,"16,650.00"
Darren Henry,Conservative and Unionist Party,Broxtowe,48.13,"14,602.97","71,586","15,142.74",96.44,0.00,"14,602.97",0.00,0.00,"1,278.02","11,779.56",0.00,176.00,917.60,451.79,150.00,"14,602.97"
Kat Boettge,Green Party,Broxtowe,3.27,978.00,"71,586","12,995.16",7.53,978.00,0.00,0.00,0.00,0.00,978.00,0.00,0.00,0.00,0.00,29.80,0.00
David Bishop,Independent and Other,Broxtowe,0.31,50.00,"71,586","13,127.48",0.38,50.00,0.00,0.00,0.00,30.00,20.00,0.00,0.00,0.00,0.00,NaN,0.00
Teck Khong,Independent and Other,Broxtowe,0.58,"1,843.30",NaN,"8,700.00",21.19,"1,661.07",182.23,0.00,0.00,"1,036.07",625.00,0.00,0.00,0.00,0.00,NaN,"1,705.00"
Greg Marshall,Labour Party,Broxtowe,38.48,"7,692.92","71,586",NaN,NaN,"7,429.66",263.26,0.00,0.00,263.26,"5,650.00",0.00,585.00,"1,194.26",0.00,0.00,0.00
Stephen Dorrell,Liberal Democrats,Buckingham,26.2,"6,972.95","82,348","16,111.32",43.28,"6,575.27",397.68,0.00,0.00,0.00,"6,016.60",0.00,0.00,397.68,558.67,0.00,"11,500.00"
Greg Smith,Conservative and Unionist Party,Buckingham,58.36,"14,471.40","82,348","16,111.32",89.82,"6,610.90","7,860.50",0.00,0.00,"1,770.50","7,478.90",371.25,0.00,"2,120.00","2,730.75",0.00,"14,471.40"
Andrew Bell,Brexit Party,Buckingham,2.03,"2,450.00","82,348","16,111.00",15.21,"2,450.00",0.00,0.00,0.00,0.00,"2,450.00",0.00,0.00,0.00,0.00,174.72,0.00
David Morgan,Labour Party,Aldridge-Brownhills,20.37,460.87,"59,137",NaN,NaN,0.00,460.87,0.00,0.00,252.27,191.35,0.00,0.00,0.00,17.25,0.00,460.87
Ned Thompson,Independent and Other,Buckingham,1.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Julie Cooper,Labour Party,Burnley,36.86,"9,103.34","64,343","12,560.58",72.48,0.00,"9,103.34",0.00,0.00,"1,865.64","5,687.70",0.00,300.00,0.00,"1,250.00",0.00,"9,103.34"
Gordon Birtwistle,Liberal Democrats,Burnley,8.98,"2,504.99","63,393","12,503.58",20.03,"2,404.99",100.00,0.00,0.00,621.97,"1,832.98",0.00,0.00,0.00,50.00,0.00,"2,404.99"
Laura Fisk,Green Party,Burnley,1.9,252.29,"63,393","12,503.58",2.02,252.29,0.00,0.00,0.00,252.29,0.00,0.00,0.00,0.00,0.00,0.00,252.29
Julie Cooper,Labour Party,Burnley,36.86,"9,103.34","64,343","12,560.58",72.48,0.00,"9,103.34",0.00,0.00,"1,865.64","5,687.70",0.00,300.00,0.00,"1,250.00",0.00,"9,103.34"
Antony Higginbotham,Conservative and Unionist Party,Burnley,40.32,"6,674.40","63,393","12,503.58",53.38,0.00,"6,674.40",0.00,0.00,"2,618.49","3,488.76",244.39,0.00,98.31,224.45,973.33,"6,674.40"
Laura Fisk,Green Party,Burnley,1.9,252.29,"63,393","12,503.58",2.02,252.29,0.00,0.00,0.00,252.29,0.00,0.00,0.00,0.00,0.00,0.00,252.29
Charlie Briggs,Independent and Other,Burnley,2.98,382.90,NaN,NaN,NaN,382.90,0.00,0.00,0.00,72.95,309.95,0.00,0.00,0.00,0.00,0.00,0.00
Adam Wain,Liberal Democrats,Burton,5.5,"1,356.04","75,036","15,453.00",8.78,"1,356.04",0.00,0.00,0.00,266.04,"1,060.00",0.00,30.00,0.00,0.00,0.00,"1,356.04"
Kate Griffiths,Conservative and Unionist Party,Burton,60.65,"11,737.48","75,036","15,453.24",75.95,"7,240.59","4,496.89",0.00,0.00,"1,472.06","6,955.50",100.00,76.13,"1,059.49","2,074.30",0.00,"11,737.48"
Louise Walker,Labour Party,Burton,30.91,"8,387.71","75,036","15,453.00",54.28,"8,387.71",0.00,0.00,0.00,"3,741.71","4,626.00",0.00,820.00,0.00,0.00,0.00,"1,280.00"
James Daly,Conservative and Unionist Party,Bury North,46.24,"11,451.05","68,802","12,828.12",89.27,0.00,"11,451.05",0.00,0.00,"1,960.72","7,641.44",13.74,5.22,755.37,"1,074.56",393.75,"11,451.05"
James Frith,Labour Party,Bury North,46.02,"12,528.60","68,802","12,828.12",97.67,0.00,"12,528.60",0.00,0.00,"4,409.44","7,576.83",0.00,80.00,0.00,462.23,0.00,"12,528.60"
Charlie Allen,Green Party,Bury North,1.71,118.50,"68,802","12,828.12",0.92,118.50,0.00,0.00,0.00,0.00,118.50,0.00,0.00,0.00,0.00,0.00,190.00
James Daly,Conservative and Unionist Party,Bury North,46.24,"11,451.05","68,802","12,828.12",89.27,0.00,"11,451.05",0.00,0.00,"1,960.72","7,641.44",13.74,5.22,755.37,"1,074.56",393.75,"11,451.05"
Alan McCarthy,Brexit Party,Bury North,2.65,"3,700.74",NaN,NaN,NaN,"3,700.74",0.00,0.00,0.00,320.00,"2,450.00",188.50,0.00,0.00,742.24,0.00,NaN
Ivan Lewis,Independent and Other,Bury South,2.72,"11,080.73","75,152","13,209.12",83.89,"10,680.73",400.00,0.00,0.00,"2,068.00","6,190.96",89.19,0.00,"2,064.60",667.98,0.00,"11,994.00"
Richard Kilpatrick,Liberal Democrats,Bury South,4.6,"1,392.37","75,152","13,209.00",10.54,"1,392.37",0.00,0.00,0.00,0.00,"1,392.37",0.00,0.00,0.00,0.00,0.00,NaN
Glyn Heath,Green Party,Bury South,1.69,0.00,"75,152","13,209.12",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Christian Wakeford,Conservative and Unionist Party,Bury South,43.83,"12,128.75","75,152","13,209.12",91.82,0.00,"12,128.75",0.00,0.00,"1,042.61","8,069.27",223.02,5.22,"2,053.62",735.01,787.50,"12,128.75"
Andrea Livesey,Brexit Party,Bury South,3.33,"5,090.00",NaN,NaN,NaN,0.00,"5,090.00",0.00,0.00,500.00,"4,580.00",0.00,10.00,0.00,0.00,660.15,"7,000.00"
Gemma Evans,Independent and Other,Bury South,0.26,"1,859.87","75,142","13,208.52",14.08,0.00,"1,859.87",0.00,0.00,450.61,435.38,266.40,0.00,675.14,32.34,0.00,"1,859.87"
Lucy Burke,Labour Party,Bury South,43.03,"12,807.04","75,152","13,209.12",96.96,0.00,"12,807.04",0.00,0.00,327.00,"6,436.68",98.00,0.00,"3,465.90","2,479.46",0.00,"2,965.96"
Michael Boyle,Independent and Other,Bury South,0.55,"1,516.49",NaN,NaN,NaN,"1,516.49",0.00,0.00,0.00,958.00,525.50,0.00,0.00,0.00,32.99,0.00,NaN
Helen Geake,Green Party,Bury St Edmunds,15.67,"9,028.42","87,936","16,614.51",54.34,"9,028.42",0.00,0.00,0.00,"3,542.66","5,038.73",0.00,160.00,240.00,47.03,0.00,"1,600.00"
Jo Churchill,Conservative and Unionist Party,Bury St Edmunds,60.96,"10,723.95","87,712","16,594.08",64.63,"10,334.55",389.40,0.00,0.00,696.58,"6,990.97",0.00,0.00,"2,496.16",540.24,0.00,"10,723.95"
Cliff Waterman,Labour Party,Bury St Edmunds,20.63,"4,832.72","89,644","16,767.96",28.82,"4,832.72",0.00,0.00,0.00,162.00,"4,618.00",0.00,0.00,0.00,52.72,0.00,0.00
Lindsay Whittle,Plaid Cymru,Caerphilly,16.01,"7,846.53","63,166","14,384.94",54.55,"6,621.60","1,224.93",0.00,0.00,"1,151.53","6,695.00",0.00,0.00,0.00,0.00,0.00,"7,845.53"
Wayne David,Labour Party,Caerphilly,44.91,"8,484.70","63,166","14,385.00",58.98,0.00,"8,484.70",0.00,0.00,424.76,"6,654.14",0.00,8.68,0.00,"1,397.12",0.00,"8,484.70"
Nathan Gill,Brexit Party,Caerphilly,11.19,"8,749.37","63,465","14,411.85",60.71,"8,749.37",0.00,0.00,0.00,"3,750.00","3,837.00",0.00,0.00,750.00,412.37,864.67,0.00
Jane Pratt,Conservative and Unionist Party,Caerphilly,27.88,"2,670.32",NaN,NaN,NaN,"1,748.22",922.10,0.00,0.00,"1,155.42","1,427.80",0.00,87.10,0.00,0.00,65.20,"2,670.32"
Sandra Skinner,Brexit Party,"Caithness, Sutherland and Easter Ross",3.62,"2,205.00","46,428","11,485.68",19.2,"2,205.00",0.00,0.00,0.00,0.00,"2,205.50",0.00,0.00,0.00,0.00,365.40,0.00
Jamie Stone,Liberal Democrats,"Caithness, Sutherland and Easter Ross",37.21,"12,504.61","46,428","12,878.52",97.1,"5,506.78","6,997.83",0.00,0.00,"2,214.00","8,567.72",80.00,0.00,"1,252.89",390.00,250.00,"12,504.61"
Karl Rosie,Scottish National Party,"Caithness, Sutherland and Easter Ross",36.56,"11,494.02","46,428","12,878.52",89.25,"11,044.02",450.00,0.00,0.00,"5,093.79","5,691.85",124.89,550.00,13.49,20.00,368.19,"18,513.20"
Andrew Sinclair,Conservative and Unionist Party,"Caithness, Sutherland and Easter Ross",16.45,"4,060.36","46,428","12,878.52",31.53,0.00,"4,060.36",0.00,0.00,"1,391.80","1,674.17",176.11,0.00,202.00,616.28,135.00,"4,060.36"
Cheryl McDonald,Labour Party,"Caithness, Sutherland and Easter Ross",6.15,"2,136.04","46,428","12,879.00",16.59,"2,136.04",0.00,0.00,0.00,820.54,"1,315.50",0.00,0.00,0.00,0.00,0.00,"1,032.50"
Craig Whittaker,Conservative and Unionist Party,Calder Valley,51.88,"13,426.82","77,065","15,635.85",85.87,0.00,"13,426.82",0.00,0.00,"2,807.55","9,472.81",138.57,310.58,97.46,599.85,0.00,"13,426.82"
Javed Bashir,Liberal Democrats,Calder Valley,4.99,"3,969.79","77,065","15,635.85",25.39,"3,937.79",32.00,0.00,0.00,676.17,"3,243.62",0.00,0.00,0.00,50.00,0.00,"3,969.79"
Richard Phillips,Independent and Other,Calder Valley,1.25,685.00,"77,065","13,935.85",4.92,685.00,0.00,0.00,0.00,685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joshua Ogunleye,Independent and Other,Camberwell and Peckham,0.22,"1,500.00","78,605","250,000.00",0.6,0.00,0.00,0.00,0.00,0.00,"1,500.00",0.00,0.00,0.00,0.00,0.00,0.00
Harriet Harman,Labour Party,Camberwell and Peckham,71.26,"3,792.00","88,971","14,038.00",27.01,0.00,"3,792.00",0.00,0.00,294.00,"3,498.00",0.00,0.00,0.00,0.00,0.00,"3,792.00"
Julia Ogiehor,Liberal Democrats,Camberwell and Peckham,9,"3,244.85","88,971","13,771.35",23.56,"3,244.85",0.00,0.00,0.00,0.00,"2,532.82",0.00,0.00,276.90,435.13,0.00,"5,336.70"
Claire Sheppard,Green Party,Camberwell and Peckham,6.2,"1,308.06","88,971","14,038.26",9.32,765.06,543.00,0.00,0.00,218.00,631.00,0.00,0.00,0.00,459.06,178.00,325.00
Jean-Claude Cass-Horne,Brexit Party,Camberwell and Peckham,1.84,0.00,"88,971","14,038.26",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
George Eustice,Conservative and Unionist Party,Camborne and Redruth,53.14,"11,996.62","70,250","14,745.93",81.36,"5,140.76","6,855.86",0.00,0.00,953.60,"7,190.23",0.00,151.42,"3,080.00",621.37,152.50,"11,996.62"
Paul Holmes,Conservative and Unionist Party,Eastleigh,55.43,"8,233.73","82,091","13,625.46",60.43,"6,611.26","1,622.47",0.00,0.00,"1,035.91","5,343.20",59.99,26.75,"1,375.85",392.03,99.98,"8,233.73"
Daniel Zeichner,Labour Party,Cambridge,47.97,"12,484.01","74,669","13,180.14",94.72,0.00,"12,484.01",0.00,0.00,"1,003.87","9,325.36",0.00,0.00,"1,279.78",875.00,0.00,"12,484.01"
Keith Garrett,Independent and Other,Cambridge,0.12,0.00,"74,669","13,180.14",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremy Caddick,Green Party,Cambridge,4.03,"2,289.60","74,669","13,181.94",17.37,"2,289.60",0.00,0.00,0.00,197.78,"2,091.82",0.00,0.00,0.00,0.00,0.00,"2,289.00"
Rod Cantrill,Liberal Democrats,Cambridge,30.03,"12,106.64","74,669","13,180.14",91.86,"11,683.46",423.18,0.00,0.00,"1,054.92","7,758.67",26.80,0.00,"1,968.75","1,297.54",0.00,"11,682.46"
Peter Dawe,Brexit Party,Cambridge,1.94,"9,655.00","74,669",NaN,NaN,"8,375.00","1,280.00",0.00,0.00,NaN,"1,280.00",NaN,NaN,NaN,NaN,NaN,"5,000.00"
Russell Perrin,Conservative and Unionist Party,Cambridge,15.53,"7,932.49","74,669","13,180.14",60.19,"6,862.49","1,070.00",0.00,0.00,739.12,"4,405.51","1,751.42",0.00,0.00,"1,036.44",15.90,"8,070.00"
Jane Robins,Independent and Other,Cambridge,0.17,58.00,"74,669","13,180.14",0.44,0.00,58.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,58.00
Amanda Milling,Conservative and Unionist Party,Cannock Chase,68.31,"13,022.44","73,531","15,317.79",85.02,"7,690.44","5,332.00",0.00,0.00,674.70,"10,465.74",0.00,0.00,0.00,"1,882.00",150.00,"13,022.44"
Paul Woodhead,Green Party,Cannock Chase,6.3,"3,267.74",NaN,NaN,NaN,"2,067.74","1,200.00",0.00,0.00,"2,046.50","1,221.29",0.00,0.00,0.00,0.00,0.00,"2,067.79"
Anne Hobbs,Labour Party,Cannock Chase,25.39,"4,772.14","74,813","15,317.79",31.15,0.00,"4,772.14",0.00,0.00,834.50,"3,857.64",0.00,0.00,0.00,80.00,0.00,"4,772.14"
Anna Firth,Conservative and Unionist Party,Canterbury,45.22,"14,476.62","80,184","15,916.56",90.95,"14,472.62",0.00,0.00,0.00,"2,986.05","8,991.56",998.89,0.00,"1,085.96",414.16,0.00,"14,476.62"
Claire Malcomson,Liberal Democrats,Canterbury,5.67,"2,578.64","70,183","15,016.47",17.17,"2,578.64",0.00,0.00,0.00,0.00,"2,568.80",0.00,0.00,0.00,12.84,206.96,"2,578.64"
Michael Gould,Independent and Other,Canterbury,0.84,"1,014.00","80,203","15,918.27",6.37,"1,014.00",0.00,0.00,0.00,20.00,994.00,0.00,0.00,0.00,0.00,0.00,0.00
Meirion Jenkins,Conservative and Unionist Party,Cardiff Central,20.15,"1,718.96","56,974","12,118.44",14.18,"1,656.96",62.00,0.00,0.00,0.00,"1,580.00",126.96,0.00,0.00,12.00,526.35,62.00
Jo Stevens,Labour Party,Cardiff Central,61.22,"10,681.98","56,974","12,118.44",88.15,0.00,"10,681.98",0.00,0.00,"1,138.92","5,446.60",0.00,0.00,0.00,"4,096.46",0.00,"10,681.98"
Brian Johnson,Independent and Other,Cardiff Central,0.21,"1,632.11","56,974","8,700.00",18.76,"1,632.11",0.00,0.00,0.00,545.11,"1,087.00",0.00,0.00,0.00,0.00,0.00,"1,632.11"
Bablin Molik,Liberal Democrats,Cardiff Central,15.06,"7,265.58","53,544","11,912.64",60.99,"7,179.43",86.15,0.00,0.00,70.00,"5,668.95",0.00,0.00,"1,069.49",457.14,0.00,"12,357.58"
Gareth Pearce,Brexit Party,Cardiff Central,2.41,"4,899.48","59,288","12,118.44",40.43,"4,899.48",0.00,0.00,0.00,"2,769.53",0.00,0.00,0.00,"2,100.00",29.95,0.00,0.00
Akil Kata,Independent and Other,Cardiff Central,0.28,595.00,NaN,NaN,NaN,595.00,0.00,0.00,0.00,595.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anna McMorrin,Labour Party,Cardiff North,49.49,"10,495.91","65,884","12,653.04",82.95,0.00,"10,495.91",0.00,0.00,"1,132.71","8,193.72",0.00,35.00,0.00,"1,134.48",0.00,"10,550.09"
Rhys Taylor,Liberal Democrats,Cardiff North,6.8,"3,832.69","65,884","12,653.04",30.29,"3,782.69",50.00,0.00,0.00,128.25,"3,669.44",0.00,0.00,0.00,35.00,0.00,"3,832.69"
Steffan Webb,Plaid Cymru,Cardiff North,3.05,"1,278.32","65,884","12,653.04",10.1,"1,278.32",0.00,0.00,0.00,38.32,"1,240.00",0.00,0.00,0.00,0.00,0.00,0.00
Michael Cope,Green Party,Cardiff North,1.56,228.00,"68,438","12,806.28",1.78,228.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00
Richard Jones,Independent and Other,Cardiff North,0.39,341.28,"65,884","12,653.04",2.7,341.28,0.00,0.00,0.00,341.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ken Barker,Green Party,Cardiff South and Penarth,2.34,228.00,"76,669","8,700.00",2.62,228.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00
Stephen Doughty,Labour Party,Cardiff South and Penarth,54.14,"12,846.36","76,669","13,300.14",96.59,0.00,"12,846.36",0.00,0.00,"3,026.46","7,921.62",313.15,15.00,0.00,"1,570.13",289.50,"12,846.36"
Tim Price,Brexit Party,Cardiff South and Penarth,3.95,"2,950.00","76,669","15,600.00",18.91,"2,950.00",0.00,0.00,0.00,500.00,"2,450.00",0.00,0.00,0.00,0.00,0.00,0.00
Dan Schmeising,Liberal Democrats,Cardiff South and Penarth,5.9,"2,326.48","76,669","13,300.14",17.49,"2,326.48",0.00,0.00,0.00,0.00,"2,326.48",0.00,0.00,0.00,0.00,0.00,"2,326.48"
Nasir Adam,Plaid Cymru,Cardiff South and Penarth,4.72,"2,011.00","76,669","13,300.14",15.12,"2,011.00",0.00,0.00,0.00,135.00,"1,876.00",0.00,0.00,0.00,0.00,0.00,"2,011.00"
Philippa Broom,Conservative and Unionist Party,Cardiff South and Penarth,28.95,"3,187.10","76,669","13,300.14",23.96,0.00,"3,187.10",0.00,0.00,248.64,"2,793.46",0.00,0.00,10.00,135.00,368.00,"3,187.10"
Kevin Brennan,Labour Party,Cardiff West,51.77,"10,978.04","66,900","12,714.00",86.35,0.00,"10,978.04",0.00,0.00,955.10,"7,781.86",0.00,0.00,0.00,"2,241.08",0.00,"10,978.04"
Callum Littlemore,Liberal Democrats,Cardiff West,5.91,"1,622.44","66,900","12,714.00",12.76,"1,622.44",0.00,0.00,0.00,0.00,"1,622.44",0.00,0.00,0.00,0.00,0.00,"1,622.44"
Carolyn Webster,Conservative and Unionist Party,Cardiff West,27.98,"4,559.96","66,900","12,714.00",35.87,"4,344.96",215.00,0.00,0.00,146.07,"4,213.89",0.00,0.00,200.00,0.00,85.00,"1,000.00"
David Griffin,Green Party,Cardiff West,2.45,228.00,"66,900","21,414.00",1.06,228.00,0.00,0.00,0.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00
Boyd Clack,Plaid Cymru,Cardiff West,8.37,824.30,"66,900","12,714.00",6.48,72.30,752.00,0.00,0.00,52.00,700.00,72.30,0.00,0.00,0.00,0.00,824.30
Nick Mullins,Brexit Party,Cardiff West,3.51,"2,950.00","66,900","8,700.00",33.91,"2,950.00",0.00,0.00,0.00,500.00,"2,450.00",0.00,0.00,0.00,0.00,0.00,0.00
John Stevenson,Conservative and Unionist Party,Carlisle,55.18,"10,550.42","65,105","12,606.30",83.69,"3,832.47","6,717.95",0.00,0.00,"1,168.83","7,127.92",0.00,39.60,"1,412.15",801.92,0.00,"10,550.42"
Fiona Mills,UK Independence Party,Carlisle,2.44,800.62,"65,105","12,606.30",6.35,26.62,774.00,0.00,0.00,26.62,774.00,0.00,0.00,0.00,0.00,10.00,0.00
Ruth Alcroft,Labour Party,Carlisle,35.78,"10,778.48","65,105","12,606.00",85.5,0.00,"10,778.48",0.00,0.00,605.25,"6,520.11",0.00,0.00,"1,863.62","1,789.50",0.00,"10,778.48"
Julia Aglionby,Liberal Democrats,Carlisle,6.6,"6,747.08","62,653","12,459.18",54.15,"5,415.80","1,331.28",0.00,0.00,"2,416.18","3,215.90",0.00,0.00,305.00,810.00,0.00,"8,671.20"
Jonathan Edwards,Plaid Cymru,Carmarthen East and Dinefwr,38.87,"12,564.76","56,311","13,830.00",90.85,"12,564.76",0.00,0.00,0.00,"3,341.95","9,222.81",0.00,0.00,0.00,0.00,272.83,"13,000.00"
Maria Carroll,Labour Party,Carmarthen East and Dinefwr,21.03,"9,031.39","56,311","13,767.00",65.6,0.00,"9,031.39",0.00,0.00,"1,121.34","6,901.14",0.00,0.00,100.00,909.91,0.00,"9,031.39"
Pete Prosser,Brexit Party,Carmarthen East and Dinefwr,5.64,"6,101.50","56,311","13,830.00",44.12,"6,101.50",0.00,0.00,0.00,"2,372.00","3,729.50",0.00,0.00,0.00,0.00,666.00,0.00
Alistair Cameron,Liberal Democrats,Carmarthen West and South Pembrokeshire,4.42,"1,498.00","57,332","57,332.00",2.61,"1,498.00",0.00,0.00,0.00,120.00,"1,378.00",0.00,0.00,0.00,0.00,0.00,"1,498.00"
Simon Hart,Conservative and Unionist Party,Carmarthen West and South Pembrokeshire,52.67,"11,855.86","58,629","13,976.61",84.83,"11,120.86",735.00,0.00,0.00,"6,294.37","4,936.49",0.00,0.00,60.00,565.00,0.00,"20,750.00"
Marc Tierney,Labour Party,Carmarthen West and South Pembrokeshire,34.28,"12,846.86","58,629","13,976.61",91.92,0.00,"12,846.86",0.00,0.00,"3,068.53","7,334.26",0.00,569.20,"1,409.93",464.94,0.00,"12,846.86"
