cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Alison Smith,Liberal Democrats,Banff and Buchan,5.4,"2,255.30","66,655","14,698.95",15.34,"2,213.30",42.00,0.00,0.00,50.00,"2,205.30",0.00,0.00,0.00,0.00,142.94,"2,255.30"
Brian Balcombe,Labour Party,Banff and Buchan,4.1,"1,627.00","66,655","12,699.30",12.81,0.00,"1,627.00",0.00,0.00,0.00,"1,627.00",0.00,0.00,0.00,0.00,0.00,"1,927.00"
Margaret Hodge,Labour Party,Barking,61.17,"4,762.10","76,243","13,274.58",35.87,0.00,"4,762.10",0.00,0.00,644.10,"3,778.00",0.00,0.00,0.00,320.00,0.00,"4,717.10"
Ann Haigh,Liberal Democrats,Barking,3.33,"1,083.50","76,243","13,274.58",8.16,"1,083.50",0.00,0.00,0.00,0.00,583.50,0.00,0.00,0.00,0.00,0.00,"1,083.50"
Shannon Butterfield,Green Party,Barking,1.84,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tamkeen Shaikh,Conservative and Unionist Party,Barking,26.5,"3,172.36","76,243","13,274.58",23.9,"3,089.80",82.56,0.00,0.00,"1,500.00","1,589.80",0.00,0.00,82.56,0.00,0.00,"2,600.00"
Karen Batley,Brexit Party,Barking,7.16,400.00,NaN,"8,900.00",4.49,NaN,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN
Donald Wood,Independent and Other,Barnsley Central,0.51,75.00,"64,000","12,000.00",0.63,75.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00
Iftikhar Ahmed,Conservative and Unionist Party,Barnsley Central,21.39,"3,706.17","63,948","12,536.88",29.56,0.00,"3,706.17",0.00,0.00,"1,583.40","1,917.59",0.00,0.00,167.15,38.03,0.00,"3,706.17"
Tom Heyes,Green Party,Barnsley Central,2.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Victoria Felton,Brexit Party,Barnsley Central,30.44,"6,843.84","65,277","12,536.88",54.59,"6,843.84",0.00,0.00,0.00,"6,843.84",0.00,0.00,0.00,0.00,0.00,0.00,"1,279.00"
Ryan Williams,Independent and Other,Barnsley Central,1.92,9.99,"63,948","12,536.88",0.08,9.99,0.00,0.00,0.00,9.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Will Sapwell,Liberal Democrats,Barnsley Central,3.19,0.00,"65,277","12,536.88",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jim Ferguson,Brexit Party,Barnsley East,29.19,"8,319.79","69,504","14,833.05",56.09,NaN,NaN,NaN,NaN,"7,319.79",NaN,NaN,NaN,NaN,"1,000.00","1,000.00",NaN
Stephanie Peacock,Labour Party,Barnsley East,37.64,"13,627.45","68,145","14,833.05",91.87,0.00,"13,627.45",0.00,0.00,"2,640.11","10,127.60",58.27,0.00,0.00,801.47,0.00,"13,267.45"
Sophie Thornton,Liberal Democrats,Barnsley East,3.49,0.00,"69,504","14,833.05",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Gregg,Conservative and Unionist Party,Barnsley East,27.26,"7,613.62","69,510","14,833.05",51.33,0.00,"7,613.62",0.00,0.00,"2,035.90","5,307.14",0.00,0.00,162.35,108.23,0.00,"7,613.62"
Chris Loynes,Green Party,Barrow and Furness,1.53,98.00,"68,809","14,892.81",0.66,98.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,98.00
Simon Fell,Conservative and Unionist Party,Barrow and Furness,51.85,"14,345.18","68,809","14,892.81",96.32,0.00,"14,345.18",0.00,0.00,"4,462.00","6,621.08",177.25,17.54,"1,236.74","1,830.57",0.00,"14,345.18"
Loraine Birchall,Liberal Democrats,Barrow and Furness,4.4,0.00,"68,809","14,892.81",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chris Altree,Labour Party,Barrow and Furness,39.28,"14,119.83","68,809","14,892.81",94.81,0.00,"14,119.83",0.00,0.00,"3,027.57","7,730.62",75.00,120.00,"2,046.64","1,120.00",0.00,"14,119.83"
Ged McGrath,Brexit Party,Barrow and Furness,2.94,"7,410.86","68,809","12,828.54",57.77,33.45,"7,377.41",0.00,0.00,"2,946.91","4,430.50",33.45,0.00,0.00,0.00,60.00,"7,377.41"
John Baron,Conservative and Unionist Party,Basildon and Billericay,67.05,"2,932.13","68,574","12,814.44",22.88,"2,932.13",139.40,0.00,0.00,0.00,"2,486.00",0.00,0.00,0.00,446.13,0.00,"3,400.00"
Edward Sainsbury,Liberal Democrats,Basildon and Billericay,8.48,"2,280.61","69,906","12,814.44",17.8,"2,280.61",0.00,0.00,0.00,0.00,"2,280.61",0.00,0.00,0.00,0.00,0.00,"2,280.61"
Stewart Goshawk,Green Party,Basildon and Billericay,3.16,146.00,"69,906","12,894.36",1.13,146.00,0.00,0.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,NaN
Andrew Gordon,Labour Party,Basildon and Billericay,20.8,"2,151.00","68,574","12,814.44",16.79,0.00,"2,151.00",0.00,0.00,30.00,"1,821.00",0.00,0.00,0.00,300.00,0.00,"2,151.00"
Simon Breedon,Independent and Other,Basildon and Billericay,0.15,58.00,"68,574","12,814.44",0.45,58.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,58.00,0.00
Maria Miller,Conservative and Unionist Party,Basingstoke,54.09,"7,111.81","79,824","13,489.44",52.72,"5,184.50","1,927.31",0.00,0.00,145.00,"4,905.50",0.00,0.00,"1,166.36",894.95,0.00,0.00
Alan Stone,Independent and Other,Basingstoke,1.36,"4,657.02","75,000",NaN,NaN,"4,657.02",0.00,0.00,0.00,262.71,"4,394.31",0.00,0.00,0.00,0.00,"4,657.02",0.00
Sashi Mylvaganam,Liberal Democrats,Basingstoke,12.5,"4,702.85","82,928","13,675.68",34.39,"4,238.00",464.85,0.00,0.00,199.92,"4,502.93",0.00,0.00,0.00,0.00,0.00,"4,702.85"
Kerena Marchant,Labour Party,Basingstoke,28.14,"8,024.89","79,824","13,489.44",59.49,14.12,"8,010.77",0.00,0.00,"1,644.92","6,137.30",0.00,0.00,0.00,242.67,382.29,"7,852.06"
